statut_compte,duree_credit_mois,historique_credit,motif_pret,montant_credit_eur,epargne,anciennete_emploi,taux_effort_pct,statut_personnel,autres_debiteurs,duree_residence_ans,patrimoine,age_annees,autres_plans_paiement,logement,nombre_credits_existants,profession,personnes_a_charge,telephone,travailleur_etranger,statut_defaut_brut,statut_defaut,probabilite_defaut_pct,decision_credit,client_id
A14,48,A34,A46,6110,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,1,A192,A201,1,0,60.7,❌ REFUSÉ,GER-CLI-1036
A13,18,A32,A43,2100,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,1,A191,A201,2,1,35.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1037
A13,10,A32,A44,1225,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,0,20.5,✅ ACCORDÉ,GER-CLI-1038
A12,9,A32,A43,458,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,1,A191,A201,1,0,30.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1039
A14,30,A32,A43,2333,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,1,A191,A201,1,0,48.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1040
A12,12,A32,A43,1158,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,1,A192,A201,1,0,29.2,✅ ACCORDÉ,GER-CLI-1041
A12,18,A33,A45,6204,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,2,A192,A201,1,0,37.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1042
A11,30,A34,A41,6187,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,1,A191,A201,1,0,51.2,❌ REFUSÉ,GER-CLI-1043
A11,48,A34,A41,6143,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,1,A191,A201,2,1,62.3,❌ REFUSÉ,GER-CLI-1044
A14,11,A34,A40,1393,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,1,A191,A201,1,0,29.7,✅ ACCORDÉ,GER-CLI-1045
A14,36,A32,A43,2299,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A191,A201,1,0,48.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1046
A11,6,A32,A41,1352,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,1,A192,A201,1,0,20.1,✅ ACCORDÉ,GER-CLI-1047
A14,11,A34,A40,7228,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,1,A191,A201,1,0,33.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1048
A14,12,A32,A43,2073,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,1,A191,A201,1,0,35.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1049
A12,24,A33,A42,2333,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,1,A191,A201,1,0,44.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1050
A12,27,A33,A41,5965,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,1,A192,A201,1,0,45.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1051
A14,12,A32,A43,1262,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,1,A191,A201,1,0,29.9,✅ ACCORDÉ,GER-CLI-1052
A14,18,A32,A41,3378,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,1,A192,A201,1,0,33.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1053
A12,36,A33,A40,2225,A61,A75,4,A93,A101,4,A124,57,A141,A153,2,A173,1,A192,A201,2,1,39.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1054
A14,6,A31,A40,783,A65,A73,1,A93,A103,2,A121,26,A142,A152,1,A172,2,A191,A201,1,0,17.9,✅ ACCORDÉ,GER-CLI-1055
A12,12,A32,A43,6468,A65,A71,2,A93,A101,1,A124,52,A143,A152,1,A174,1,A192,A201,2,1,30.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1056
A14,36,A34,A43,9566,A61,A73,2,A92,A101,2,A123,31,A142,A152,2,A173,1,A191,A201,1,0,68.9,❌ REFUSÉ,GER-CLI-1057
A13,18,A32,A40,1961,A61,A75,3,A92,A101,2,A123,23,A143,A152,1,A174,1,A191,A201,1,0,37.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1058
A11,36,A34,A42,6229,A61,A72,4,A92,A102,4,A124,23,A143,A151,2,A172,1,A192,A201,2,1,70.1,❌ REFUSÉ,GER-CLI-1059
A12,9,A32,A49,1391,A61,A73,2,A94,A101,1,A121,27,A141,A152,1,A173,1,A192,A201,1,0,23.8,✅ ACCORDÉ,GER-CLI-1060
A12,15,A34,A43,1537,A65,A75,4,A93,A103,4,A121,50,A143,A152,2,A173,1,A192,A201,1,0,26.5,✅ ACCORDÉ,GER-CLI-1061
A12,36,A30,A49,1953,A61,A75,4,A93,A101,4,A124,61,A143,A153,1,A174,1,A192,A201,2,1,36.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1062
A12,48,A30,A49,14421,A61,A73,2,A93,A101,2,A123,25,A143,A152,1,A173,1,A192,A201,2,1,88.1,❌ REFUSÉ,GER-CLI-1063
A14,24,A32,A43,3181,A61,A72,4,A92,A101,4,A122,26,A143,A152,1,A173,1,A192,A201,1,0,49.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1064
A14,27,A32,A45,5190,A65,A75,4,A93,A101,4,A122,48,A143,A152,4,A173,2,A192,A201,1,0,48.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1065
A14,12,A32,A43,2171,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,1,0,27.0,✅ ACCORDÉ,GER-CLI-1066
A12,12,A32,A40,1007,A64,A73,4,A94,A101,1,A121,22,A143,A152,1,A173,1,A191,A201,1,0,34.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1067
A14,36,A32,A46,1819,A61,A73,4,A93,A101,4,A124,37,A142,A153,1,A173,1,A192,A201,2,1,47.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1068
A14,36,A32,A43,2394,A65,A73,4,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,1,0,55.9,❌ REFUSÉ,GER-CLI-1069
A14,36,A32,A41,8133,A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,1,A191,A201,1,0,59.9,❌ REFUSÉ,GER-CLI-1070
A14,7,A34,A43,730,A65,A75,4,A93,A101,2,A122,46,A143,A151,2,A172,1,A192,A201,1,0,21.4,✅ ACCORDÉ,GER-CLI-1071
A11,8,A34,A410,1164,A61,A75,3,A93,A101,4,A124,51,A141,A153,2,A174,2,A192,A201,1,0,18.2,✅ ACCORDÉ,GER-CLI-1072
A12,42,A34,A49,5954,A61,A74,2,A92,A101,1,A121,41,A141,A152,2,A172,1,A191,A201,1,0,55.8,❌ REFUSÉ,GER-CLI-1073
A11,36,A32,A46,1977,A65,A75,4,A93,A101,4,A124,40,A143,A152,1,A174,1,A192,A201,2,1,46.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1074
A11,12,A34,A41,1526,A61,A75,4,A93,A101,4,A124,66,A143,A153,2,A174,1,A191,A201,1,0,19.3,✅ ACCORDÉ,GER-CLI-1075
A11,42,A32,A43,3965,A61,A72,4,A93,A101,3,A123,34,A143,A152,1,A173,1,A191,A201,2,1,61.7,❌ REFUSÉ,GER-CLI-1076
A12,11,A33,A43,4771,A61,A74,2,A93,A101,4,A122,51,A143,A152,1,A173,1,A191,A201,1,0,25.5,✅ ACCORDÉ,GER-CLI-1077
A14,54,A30,A41,9436,A65,A73,2,A93,A101,2,A122,39,A143,A152,1,A172,2,A191,A201,1,0,76.0,❌ REFUSÉ,GER-CLI-1078
A12,30,A32,A42,3832,A61,A72,2,A94,A101,1,A122,22,A143,A152,1,A173,1,A191,A201,1,0,48.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1079
A14,24,A32,A43,5943,A65,A72,1,A92,A101,1,A123,44,A143,A152,2,A173,1,A192,A201,2,1,36.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1080
A14,15,A32,A43,1213,A63,A75,4,A93,A101,3,A122,47,A142,A152,1,A173,1,A192,A201,1,0,26.7,✅ ACCORDÉ,GER-CLI-1081
A14,18,A32,A49,1568,A62,A73,3,A92,A101,4,A122,24,A143,A151,1,A172,1,A191,A201,1,0,35.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1082
A11,24,A32,A410,1755,A61,A75,4,A92,A103,4,A121,58,A143,A152,1,A172,1,A192,A201,1,0,29.4,✅ ACCORDÉ,GER-CLI-1083
A11,10,A32,A43,2315,A61,A75,3,A93,A101,4,A121,52,A143,A152,1,A172,1,A191,A201,1,0,21.5,✅ ACCORDÉ,GER-CLI-1084
A14,12,A34,A49,1412,A61,A73,4,A92,A103,2,A121,29,A143,A152,2,A174,1,A192,A201,1,0,33.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1085
A12,18,A34,A42,1295,A61,A72,4,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,0,37.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1086
A12,36,A32,A46,12612,A62,A73,1,A93,A101,4,A124,47,A143,A153,1,A173,2,A192,A201,2,1,67.5,❌ REFUSÉ,GER-CLI-1087
A11,18,A32,A40,2249,A62,A74,4,A93,A101,3,A123,30,A143,A152,1,A174,2,A192,A201,1,0,39.6,⚠️ ÉTUDE MANUELLE,GER-CLI-1088
A11,12,A30,A45,1108,A61,A74,4,A93,A101,3,A121,28,A143,A152,2,A173,1,A191,A201,2,1,32.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1089
A14,12,A34,A43,618,A61,A75,4,A93,A101,4,A121,56,A143,A152,1,A173,1,A191,A201,1,0,20.3,✅ ACCORDÉ,GER-CLI-1090
A11,12,A34,A41,1409,A61,A75,4,A93,A101,3,A121,54,A143,A152,1,A173,1,A191,A201,1,0,23.0,✅ ACCORDÉ,GER-CLI-1091
A14,12,A34,A43,797,A65,A75,4,A92,A101,3,A122,33,A141,A152,1,A172,2,A191,A201,2,1,29.3,✅ ACCORDÉ,GER-CLI-1092
A13,24,A34,A42,3617,A65,A75,4,A93,A102,4,A124,20,A143,A151,2,A173,1,A191,A201,1,0,54.1,❌ REFUSÉ,GER-CLI-1093
A12,12,A32,A40,1318,A64,A75,4,A93,A101,4,A121,54,A143,A152,1,A173,1,A192,A201,1,0,22.8,✅ ACCORDÉ,GER-CLI-1094
A12,54,A30,A49,15945,A61,A72,3,A93,A101,4,A124,58,A143,A151,1,A173,1,A192,A201,2,1,87.6,❌ REFUSÉ,GER-CLI-1095
A14,12,A34,A46,2012,A65,A74,4,A92,A101,2,A123,61,A143,A152,1,A173,1,A191,A201,1,0,22.1,✅ ACCORDÉ,GER-CLI-1096
A12,18,A32,A49,2622,A62,A73,4,A93,A101,4,A123,34,A143,A152,1,A173,1,A191,A201,1,0,39.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1097
A12,36,A34,A43,2337,A61,A75,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,0,50.3,❌ REFUSÉ,GER-CLI-1098
A12,20,A33,A41,7057,A65,A74,3,A93,A101,4,A122,36,A141,A151,2,A174,2,A192,A201,1,0,51.0,❌ REFUSÉ,GER-CLI-1099
A14,24,A32,A40,1469,A62,A75,4,A94,A101,4,A121,41,A143,A151,1,A172,1,A191,A201,1,0,35.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1100
A12,36,A32,A43,2323,A61,A74,4,A93,A101,4,A123,24,A143,A151,1,A173,1,A191,A201,1,0,56.2,❌ REFUSÉ,GER-CLI-1101
A14,6,A33,A43,932,A61,A73,3,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,1,0,25.7,✅ ACCORDÉ,GER-CLI-1102
A12,9,A34,A42,1919,A61,A74,4,A93,A101,3,A123,35,A143,A151,1,A173,1,A192,A201,1,0,30.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1103
A14,12,A32,A41,2445,A65,A72,2,A94,A101,4,A123,26,A143,A151,1,A173,1,A192,A201,1,0,29.0,✅ ACCORDÉ,GER-CLI-1104
A12,24,A34,A410,11938,A61,A73,2,A93,A102,3,A123,39,A143,A152,2,A174,2,A192,A201,2,1,65.3,❌ REFUSÉ,GER-CLI-1105
A14,18,A31,A40,6458,A61,A75,2,A93,A101,4,A124,39,A141,A152,2,A174,2,A192,A201,2,1,40.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1106
A12,12,A32,A40,6078,A61,A74,2,A93,A101,2,A123,32,A143,A152,1,A173,1,A191,A201,1,0,38.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1107
A11,24,A32,A42,7721,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,1,A192,A202,1,0,49.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1108
A12,14,A32,A49,1410,A63,A75,1,A94,A101,2,A121,35,A143,A152,1,A173,1,A192,A201,1,0,20.3,✅ ACCORDÉ,GER-CLI-1109
A12,6,A33,A49,1449,A62,A75,1,A91,A101,2,A123,31,A141,A152,2,A173,2,A191,A201,1,0,17.9,✅ ACCORDÉ,GER-CLI-1110
A13,15,A32,A46,392,A61,A72,4,A92,A101,4,A122,23,A143,A151,1,A173,1,A192,A201,1,0,34.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1111
A12,18,A32,A40,6260,A61,A74,3,A93,A101,3,A121,28,A143,A151,1,A172,1,A191,A201,1,0,50.5,❌ REFUSÉ,GER-CLI-1112
A14,36,A34,A40,7855,A61,A73,4,A92,A101,2,A121,25,A142,A152,2,A173,1,A192,A201,2,1,74.2,❌ REFUSÉ,GER-CLI-1113
A11,12,A32,A43,1680,A63,A75,3,A94,A101,1,A121,35,A143,A152,1,A173,1,A191,A201,1,0,27.1,✅ ACCORDÉ,GER-CLI-1114
A14,48,A34,A43,3578,A65,A75,4,A93,A101,1,A121,47,A143,A152,1,A173,1,A192,A201,1,0,58.3,❌ REFUSÉ,GER-CLI-1115
A11,42,A32,A43,7174,A65,A74,4,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,2,1,73.8,❌ REFUSÉ,GER-CLI-1116
A11,10,A34,A42,2132,A65,A72,2,A92,A102,3,A121,27,A143,A151,2,A173,1,A191,A202,1,0,26.5,✅ ACCORDÉ,GER-CLI-1117
A11,33,A34,A42,4281,A63,A73,1,A92,A101,4,A123,23,A143,A152,2,A173,1,A191,A201,2,1,46.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1118
A12,12,A34,A40,2366,A63,A74,3,A91,A101,3,A123,36,A143,A152,1,A174,1,A192,A201,1,0,28.8,✅ ACCORDÉ,GER-CLI-1119
A11,21,A32,A43,1835,A61,A73,3,A92,A101,2,A121,25,A143,A152,2,A173,1,A192,A201,2,1,37.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1120
A14,24,A34,A41,3868,A61,A75,4,A92,A101,2,A123,41,A143,A151,2,A174,1,A192,A201,1,0,44.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1121
A14,12,A32,A42,1768,A61,A73,3,A93,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,0,32.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1122
A13,10,A34,A40,781,A61,A75,4,A93,A101,4,A124,63,A143,A153,2,A173,1,A192,A201,1,0,17.6,✅ ACCORDÉ,GER-CLI-1123
A12,18,A32,A42,1924,A65,A72,4,A92,A101,3,A121,27,A143,A151,1,A173,1,A191,A201,2,1,39.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1124
A11,12,A34,A40,2121,A61,A73,4,A93,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1,0,34.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1125
A11,12,A32,A43,701,A61,A73,4,A94,A101,2,A121,40,A143,A152,1,A172,1,A191,A201,1,0,26.2,✅ ACCORDÉ,GER-CLI-1126
A12,12,A32,A45,639,A61,A73,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,2,1,30.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1127
A12,12,A34,A41,1860,A61,A71,4,A93,A101,2,A123,34,A143,A152,2,A174,1,A192,A201,1,0,32.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1128
A11,12,A34,A40,3499,A61,A73,3,A92,A102,2,A121,29,A143,A152,2,A173,1,A191,A201,2,1,35.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1129
A12,48,A32,A40,8487,A65,A74,1,A92,A101,2,A123,24,A143,A152,1,A173,1,A191,A201,1,0,71.8,❌ REFUSÉ,GER-CLI-1130
A11,36,A33,A46,6887,A61,A73,4,A93,A101,3,A122,29,A142,A152,1,A173,1,A192,A201,2,1,69.7,❌ REFUSÉ,GER-CLI-1131
A14,15,A32,A42,2708,A61,A72,2,A93,A101,3,A122,27,A141,A152,2,A172,1,A191,A201,1,0,31.4,⚠️ ÉTUDE MANUELLE,GER-CLI-1132
A14,18,A32,A42,1984,A61,A73,4,A93,A101,4,A124,47,A141,A153,2,A173,1,A191,A201,1,0,31.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1133
A14,60,A32,A43,10144,A62,A74,2,A92,A101,4,A121,21,A143,A152,1,A173,1,A192,A201,1,0,85.8,❌ REFUSÉ,GER-CLI-1134
A14,12,A34,A43,1240,A65,A75,4,A92,A101,2,A121,38,A143,A152,2,A173,1,A192,A201,1,0,28.6,✅ ACCORDÉ,GER-CLI-1135
A14,27,A33,A41,8613,A64,A73,2,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,0,61.3,❌ REFUSÉ,GER-CLI-1136
A12,12,A32,A43,766,A63,A73,4,A93,A101,3,A121,66,A143,A152,1,A172,1,A191,A201,2,1,17.6,✅ ACCORDÉ,GER-CLI-1137
A12,15,A34,A43,2728,A65,A74,4,A93,A103,2,A121,35,A141,A152,3,A173,1,A192,A201,1,0,36.8,⚠️ ÉTUDE MANUELLE,GER-CLI-1138
A13,12,A32,A43,1881,A61,A73,2,A92,A101,2,A123,44,A143,A151,1,A172,1,A192,A201,1,0,20.8,✅ ACCORDÉ,GER-CLI-1139
A13,6,A32,A40,709,A64,A72,2,A94,A101,2,A121,27,A143,A152,1,A171,1,A191,A202,1,0,20.5,✅ ACCORDÉ,GER-CLI-1140
A12,36,A32,A43,4795,A61,A72,4,A92,A101,1,A124,30,A143,A152,1,A174,1,A192,A201,1,0,62.2,❌ REFUSÉ,GER-CLI-1141
A11,27,A32,A43,3416,A61,A73,3,A93,A101,2,A123,27,A143,A152,1,A174,1,A191,A201,1,0,47.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1142
A11,18,A32,A42,2462,A61,A73,2,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,2,1,34.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1143
A14,21,A34,A42,2288,A61,A72,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A192,A201,1,0,45.3,⚠️ ÉTUDE MANUELLE,GER-CLI-1144
A12,48,A31,A49,3566,A62,A74,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,0,66.3,❌ REFUSÉ,GER-CLI-1145
A11,6,A34,A40,860,A61,A75,1,A92,A101,4,A124,39,A143,A152,2,A173,1,A192,A201,1,0,14.5,✅ ACCORDÉ,GER-CLI-1146
A14,12,A34,A40,682,A62,A74,4,A92,A101,3,A123,51,A143,A152,2,A173,1,A192,A201,1,0,22.1,✅ ACCORDÉ,GER-CLI-1147
A11,36,A34,A42,5371,A61,A73,3,A93,A103,2,A122,28,A143,A152,2,A173,1,A191,A201,1,0,60.5,❌ REFUSÉ,GER-CLI-1148
A14,18,A34,A43,1582,A64,A75,4,A93,A101,4,A123,46,A143,A152,2,A173,1,A191,A201,1,0,30.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1149
A14,6,A32,A43,1346,A62,A75,2,A93,A101,4,A124,42,A141,A153,1,A173,2,A192,A201,1,0,17.4,✅ ACCORDÉ,GER-CLI-1150
A14,10,A32,A43,1924,A61,A73,1,A93,A101,4,A122,38,A143,A152,1,A173,1,A192,A202,1,0,18.7,✅ ACCORDÉ,GER-CLI-1151
A13,36,A32,A43,5848,A61,A73,4,A93,A101,1,A123,24,A143,A152,1,A173,1,A191,A201,1,0,68.5,❌ REFUSÉ,GER-CLI-1152
A12,24,A34,A41,7758,A64,A75,2,A92,A101,4,A124,29,A143,A151,1,A173,1,A191,A201,1,0,55.1,❌ REFUSÉ,GER-CLI-1153
A12,24,A33,A49,6967,A62,A74,4,A93,A101,4,A123,36,A143,A151,1,A174,1,A192,A201,1,0,58.5,❌ REFUSÉ,GER-CLI-1154
A11,12,A32,A42,1282,A61,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,2,1,27.9,✅ ACCORDÉ,GER-CLI-1155
A11,9,A34,A45,1288,A62,A75,3,A93,A103,4,A121,48,A143,A152,2,A173,2,A191,A202,1,0,19.8,✅ ACCORDÉ,GER-CLI-1156
A11,12,A31,A48,339,A61,A75,4,A94,A101,1,A123,45,A141,A152,1,A172,1,A191,A201,1,0,23.3,✅ ACCORDÉ,GER-CLI-1157
